STATION,NAME,DATE,PRCP,TMAX,TMIN,year,month,day
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-05,0,43,27,2014,4,5
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-06,0.1,40,27,2014,4,6
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-07,0,50,30,2014,4,7
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-08,0,56,32,2014,4,8
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-09,0,59,40,2014,4,9
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-10,0,56,40,2014,4,10
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-11,0,59,38,2014,4,11
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-12,0.1,55,32,2014,4,12
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-13,0,40,23,2014,4,13
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-14,0,42,18,2014,4,14
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-15,0,52,29,2014,4,15
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-16,0,46,29,2014,4,16
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-17,0,56,29,2014,4,17
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-18,0,55,40,2014,4,18
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-19,0,57,39,2014,4,19
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-20,0,58,39,2014,4,20
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-21,0.1,60,35,2014,4,21
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-22,0,53,29,2014,4,22
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-23,0,39,26,2014,4,23
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-24,0,51,26,2014,4,24
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-25,0.3,53,35,2014,4,25
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-26,0.4,42,28,2014,4,26
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-27,0.1,39,26,2014,4,27
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-28,0.1,34,23,2014,4,28
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-29,0,40,22,2014,4,29
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-04-30,0,48,26,2014,4,30
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-01,0.1,53,32,2014,5,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-02,0,60,38,2014,5,2
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-03,0,65,44,2014,5,3
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-04,0,64,51,2014,5,4
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-05,0,58,43,2014,5,5
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-06,0.1,51,30,2014,5,6
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-07,0.3,42,30,2014,5,7
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-08,0.2,44,30,2014,5,8
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-09,0.1,46,33,2014,5,9
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-10,0.2,43,29,2014,5,10
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-11,0,37,27,2014,5,11
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-12,0,42,24,2014,5,12
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-13,0,47,25,2014,5,13
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-14,0,54,31,2014,5,14
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-15,0,62,39,2014,5,15
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-16,0,64,45,2014,5,16
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-17,0,65,47,2014,5,17
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-05-18,0,63,44,2014,5,18
